Associated Company (Primary),Amount,Deal Type,Deal Stage,Deal probability,Deal Score,Is Closed Won,Is closed lost,Is Closed (numeric),Is Deal Closed?,Is Open (numeric),Contract End Date,Close Date,Last Activity Date,Days to close,Recency_Days
Associated_46f62f0e,18000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-13 13:21:00,2024-11-05 10:38:00,129.0,160.0
Associated_d29e78a9,10000.0,PS,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-10-02 12:25:00,2025-01-01 09:00:00,0.0,103.0
Associated_19af168e,380000.0,Renewal,Renewals ,0.8,61.0,False,False,0.0,False,1.0,,2025-06-12 14:40:00,2025-02-19 12:08:00,254.0,54.0
Associated_2fe60e04,30000.0,Renewal,Renewals ,0.8,57.0,False,False,0.0,False,1.0,,2025-03-31 14:28:00,2025-02-18 15:30:00,181.0,55.0
Associated_1e50a2dc,24000.0,Renewal,Renewals ,0.8,68.0,False,False,0.0,False,1.0,,2025-07-01 14:24:00,2025-02-14 15:30:00,273.0,59.0
Associated_fdc87b32,5000.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-18 10:15:00,,140.0,
Associated_881ceda3,5000.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-01-24 11:34:00,2024-12-10 11:00:00,115.0,125.0
Associated_33af9cf7,8100.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-12 11:22:00,,138.0,
Associated_429c43b8,150000.0,New,BANT Deal. Pain ID'ed,0.1,17.0,False,False,0.0,False,1.0,,2025-02-22 13:58:00,2024-12-19 11:00:00,150.0,116.0
Associated_d29e78a9,30400.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-19 10:42:00,2025-02-14 09:15:00,146.0,59.0
Associated_e1faffb3,150000.0,New,BANT Deal. Pain ID'ed,0.1,14.0,False,False,0.0,False,1.0,,2025-02-20 21:51:00,2024-11-20 13:08:00,150.0,145.0
Associated_a7adffda,25000.0,New,Opportunity,0.2,12.0,False,False,0.0,False,1.0,,2025-02-19 14:48:00,2024-12-04 10:21:00,149.0,131.0
Associated_cce6af0b,21000.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-11-29 16:29:00,2025-01-07 13:00:00,67.0,97.0
Associated_daef39a4,187000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-01-29 16:45:00,2025-01-17 14:49:00,128.0,87.0
Associated_71a4e08c,93000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-01-07 13:56:00,2024-11-19 16:08:00,109.0,146.0
Associated_b44e5b05,0.0,New,Partner Referrals ,0.05,17.0,False,False,0.0,False,1.0,,2025-02-16 21:09:00,2024-11-21 17:02:00,150.0,144.0
Associated_73370300,66000.0,Renewal,Renewals ,0.8,63.0,False,False,0.0,False,1.0,,2025-05-31 13:18:00,2025-02-17 12:00:00,253.0,56.0
Associated_499f0a3c,7200.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2025-02-12 11:38:00,2025-02-10 10:00:00,146.0,63.0
Associated_ea0c140e,15000.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-11-18 13:49:00,2024-11-14 10:04:00,60.0,151.0
Associated_4e22c870,0.0,PS,Opportunity,0.2,19.0,False,False,0.0,False,1.0,,2025-01-03 15:09:00,2024-12-02 09:52:00,107.0,133.0
Associated_6c3fa72a,30000.0,New,Negotiation,0.6,11.0,False,False,0.0,False,1.0,,2024-12-31 09:53:00,2025-01-31 12:30:00,104.0,73.0
Associated_60459aba,12500.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-09-26 22:44:00,2024-09-29 22:23:00,10.0,197.0
Associated_541b1662,0.0,New,Partner Referrals ,0.05,15.0,False,False,0.0,False,1.0,,2025-02-10 11:48:00,2024-11-26 00:06:00,149.0,140.0
Associated_aa6bc4fe,50000.0,New,Opportunity,0.2,23.0,False,False,0.0,False,1.0,,2025-06-13 10:37:00,2025-02-19 12:02:00,272.0,54.0
Associated_f459af55,66000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-12-02 13:56:00,2024-11-28 12:30:00,81.0,137.0
Associated_8a88afdb,55000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-13 13:22:00,2024-12-11 09:00:00,156.0,124.0
Associated_e42997a3,66000.0,New,Opportunity,0.2,28.0,False,False,0.0,False,1.0,,2025-04-01 15:37:00,2025-01-24 12:34:00,203.0,80.0
Associated_99580638,72000.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-09-03 13:02:00,2024-09-04 13:30:00,0.0,222.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,2025-01-27 09:46:00,2024-11-26 00:06:00,149.0,140.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,2025-01-27 09:32:00,2024-10-11 15:00:00,149.0,185.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,2025-01-24 07:43:00,2024-10-11 15:00:00,149.0,185.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,2025-01-23 11:38:00,2025-02-14 09:47:00,149.0,59.0
Associated_c873cf11,18000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-10-03 09:36:00,2024-08-14 15:05:00,40.0,243.0
Associated_d9482f6a,300000.0,New,Negotiation,0.6,28.0,False,False,0.0,False,1.0,,2025-04-11 14:10:00,2025-02-10 13:00:00,242.0,63.0
Associated_d49c68a7,60000.0,New,Deep Dive. PSP Drafted,0.2,5.0,False,False,0.0,False,1.0,,2025-02-28 09:57:00,2024-09-30 17:00:00,203.0,196.0
Associated_53a8be82,30000.0,New,Negotiation,0.6,35.0,False,False,0.0,False,1.0,,2025-01-31 21:52:00,2024-12-05 14:01:00,176.0,130.0
Associated_ea2df95a,48000.0,New,Deep Dive. PSP Drafted,0.2,12.0,False,False,0.0,False,1.0,,2025-04-18 14:13:00,2025-01-21 11:00:00,254.0,83.0
Associated_45a8f7f5,3600.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-10-03 09:33:00,2024-09-19 14:56:00,58.0,207.0
Associated_9fb866eb,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-13 13:23:00,2025-01-23 10:59:00,192.0,81.0
Associated_1d24287d,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-01-06 21:53:00,2024-08-08 11:30:00,154.0,249.0
Associated_d82a09b2,100000.0,New,Contract Sent,0.5,11.0,False,False,0.0,False,1.0,,2025-03-28 11:26:00,2025-02-14 09:52:00,239.0,59.0
Associated_9b392932,3000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-07-31 17:11:00,2024-07-24 14:00:00,0.0,264.0
Associated_95fba57c,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-05 12:02:00,2024-10-31 13:14:00,190.0,165.0
Associated_60459aba,6250.0,Growth,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-08-28 09:24:00,2024-10-17 11:21:00,32.0,179.0
Associated_911ca522,20000.0,New,Contract Sent,0.5,29.0,False,False,0.0,False,1.0,,2025-02-14 12:42:00,2025-02-03 09:31:00,212.0,70.0
Associated_e4b883e0,7200.0,Renewal,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-11-19 12:41:00,2024-11-08 14:00:00,132.0,157.0
